"inst_id","type","name","department","address","city","state","zip"
"1","Academia","Islamic University of Gaza","Mathematics","Gaza","Gaza","Palestine",""
"2","Academia","University College of Applied Sciences (UCAS)","Data Science and Artificial Intelligence","Gaza","Gaza","Palestine",""
"3","Training","UCAS Technology Incubator (UCASTI) - World Bank Project","WordPress Development Training","Gaza","Gaza","Palestine",""
"4","Training","Zakey Techies for Palestine","Python, Data Science and AI Training","Online","","",""
"5","Education","UNRWA Schools and Educational Centers","Mathematics Education","","Gaza","Palestine",""
